SampleID,Year,Site,System,LandUse,Species.richness,Tree.age.yrs,Density.tr.ha,DBH.cm,Dom.height.m,Coarse.C.Mg.ha,Fine.C.Mg.ha,Snag.C.Mg.ha
2020H1Wo,2020,H1,Hedgerow,Woodland,7,29.66666667,6666.666667,10.535,8.333333333,3.36156818,1.168144637,35.96046834
2020H2Wo,2020,H2,Hedgerow,Woodland,7,30,4666.666667,10.68928571,19.33333333,11.3710778,3.497684694,66.65575713
2020H3Wo,2020,H3,Hedgerow,Woodland,12,33.66666667,8000,11.77083333,10,6.74194485,0.421103817,36.05730888
2020H4Wo,2020,H4,Hedgerow,Woodland,8,13.33333333,7000,5.242857143,9,0,0.010094119,0
2020H5Wo,2020,H5,Hedgerow,Woodland,23,26.33333333,11333.33333,9.588235294,10,6.878747163,2.669604134,0.165133252
2020S1Wo,2020,S1,Shelterbelt,Woodland,12,27.33333333,1333.333333,27.55,15,0,0.008523923,0
2020S2Wo,2020,S2,Shelterbelt,Woodland,8,23,1333.333333,22.06870707,8,0,0.049349025,0
2020S3Wo,2020,S3,Shelterbelt,Woodland,6,33.33333333,1000,34.33333333,11.66666667,0,0.191314705,0
2020S4Wo,2020,S4,Shelterbelt,Woodland,8,30.66666667,1000,37.41421329,9.666666667,0,1.668108088,0
2020S5Wo,2020,S5,Shelterbelt,Woodland,2,28.66666667,1333.333333,24.11618931,7.666666667,0,0.145853785,8.257097785
